cora | Train Loss 0.0088 | Train Acc 1.0000 | Val Loss 0.7860 | Val Acc 0.7580 | Test Loss 0.6831 | Test Acc 0.7770
cora | Train Loss 0.0093 | Train Acc 1.0000 | Val Loss 0.6874 | Val Acc 0.7920 | Test Loss 0.6011 | Test Acc 0.8010
cora | Train Loss 0.0382 | Train Acc 1.0000 | Val Loss 0.6508 | Val Acc 0.7860 | Test Loss 0.5865 | Test Acc 0.8110
cora | Train Loss 0.0586 | Train Acc 1.0000 | Val Loss 0.6545 | Val Acc 0.7840 | Test Loss 0.5968 | Test Acc 0.8140
cora | Train Loss 0.0177 | Train Acc 1.0000 | Val Loss 0.6463 | Val Acc 0.7820 | Test Loss 0.5722 | Test Acc 0.8190
cora | Train Loss 0.0632 | Train Acc 0.9929 | Val Loss 0.6462 | Val Acc 0.7860 | Test Loss 0.5694 | Test Acc 0.8200
cora | Train Loss 0.1009 | Train Acc 0.9929 | Val Loss 0.6629 | Val Acc 0.7880 | Test Loss 0.5847 | Test Acc 0.8060
cora | Train Loss 0.0817 | Train Acc 0.9929 | Val Loss 0.6081 | Val Acc 0.7980 | Test Loss 0.5641 | Test Acc 0.8240
cora | Train Loss 0.0437 | Train Acc 1.0000 | Val Loss 0.6582 | Val Acc 0.7880 | Test Loss 0.6034 | Test Acc 0.8050
cora | Train Loss 0.0645 | Train Acc 0.9929 | Val Loss 0.6257 | Val Acc 0.8020 | Test Loss 0.5646 | Test Acc 0.8250
cora | Train Loss 0.0580 | Train Acc 1.0000 | Val Loss 0.6358 | Val Acc 0.7940 | Test Loss 0.5667 | Test Acc 0.8320
cora | Train Loss 0.0471 | Train Acc 1.0000 | Val Loss 0.6206 | Val Acc 0.7980 | Test Loss 0.5536 | Test Acc 0.8210
cora | Train Loss 0.0376 | Train Acc 1.0000 | Val Loss 0.6561 | Val Acc 0.7940 | Test Loss 0.5868 | Test Acc 0.8150
cora | Train Loss 0.0851 | Train Acc 1.0000 | Val Loss 0.6452 | Val Acc 0.7920 | Test Loss 0.5749 | Test Acc 0.8280
cora | Train Loss 0.0531 | Train Acc 1.0000 | Val Loss 0.6431 | Val Acc 0.7920 | Test Loss 0.5647 | Test Acc 0.8270
cora | Train Loss 0.0636 | Train Acc 0.9929 | Val Loss 0.6565 | Val Acc 0.7940 | Test Loss 0.5695 | Test Acc 0.8260
cora | Train Loss 0.0596 | Train Acc 0.9929 | Val Loss 0.6196 | Val Acc 0.8020 | Test Loss 0.5583 | Test Acc 0.8280
cora | Train Loss 0.0295 | Train Acc 1.0000 | Val Loss 0.6231 | Val Acc 0.7960 | Test Loss 0.5494 | Test Acc 0.8180
cora | Train Loss 0.0846 | Train Acc 0.9929 | Val Loss 0.6404 | Val Acc 0.8060 | Test Loss 0.5732 | Test Acc 0.8240
cora | Train Loss 0.0570 | Train Acc 0.9929 | Val Loss 0.6326 | Val Acc 0.7980 | Test Loss 0.5646 | Test Acc 0.8230
cora | Train Loss 0.0580 | Train Acc 0.9929 | Val Loss 0.6170 | Val Acc 0.8120 | Test Loss 0.5405 | Test Acc 0.8230
cora | Train Loss 0.0472 | Train Acc 1.0000 | Val Loss 0.6216 | Val Acc 0.8060 | Test Loss 0.5452 | Test Acc 0.8210
cora | Train Loss 0.0758 | Train Acc 0.9929 | Val Loss 0.6636 | Val Acc 0.7960 | Test Loss 0.5717 | Test Acc 0.8210
cora | Train Loss 0.0774 | Train Acc 1.0000 | Val Loss 0.6133 | Val Acc 0.7920 | Test Loss 0.5532 | Test Acc 0.8330
cora | Train Loss 0.0438 | Train Acc 1.0000 | Val Loss 0.6334 | Val Acc 0.7960 | Test Loss 0.5639 | Test Acc 0.8200
cora | Train Loss 0.0528 | Train Acc 0.9929 | Val Loss 0.6132 | Val Acc 0.7980 | Test Loss 0.5559 | Test Acc 0.8190
cora | Train Loss 0.0590 | Train Acc 1.0000 | Val Loss 0.6469 | Val Acc 0.7920 | Test Loss 0.5550 | Test Acc 0.8240
cora | Train Loss 0.0563 | Train Acc 0.9929 | Val Loss 0.6157 | Val Acc 0.8020 | Test Loss 0.5636 | Test Acc 0.8110
cora | Train Loss 0.0483 | Train Acc 1.0000 | Val Loss 0.6151 | Val Acc 0.7840 | Test Loss 0.5633 | Test Acc 0.8240
cora | Train Loss 0.0482 | Train Acc 1.0000 | Val Loss 0.6223 | Val Acc 0.7920 | Test Loss 0.5621 | Test Acc 0.8270
cora | Train Loss 0.0656 | Train Acc 0.9929 | Val Loss 0.6510 | Val Acc 0.7860 | Test Loss 0.5804 | Test Acc 0.8200
cora | Train Loss 0.1117 | Train Acc 0.9643 | Val Loss 0.6571 | Val Acc 0.8080 | Test Loss 0.5535 | Test Acc 0.8160
cora | Train Loss 0.0957 | Train Acc 1.0000 | Val Loss 0.9086 | Val Acc 0.7460 | Test Loss 0.8634 | Test Acc 0.7640
cora | Train Loss 0.0340 | Train Acc 1.0000 | Val Loss 0.6779 | Val Acc 0.8040 | Test Loss 0.5844 | Test Acc 0.8280
citeseer | Train Loss 0.1409 | Train Acc 0.9583 | Val Loss 1.2415 | Val Acc 0.6420 | Test Loss 1.3657 | Test Acc 0.6040
citeseer | Train Loss 0.0829 | Train Acc 0.9917 | Val Loss 1.0873 | Val Acc 0.6580 | Test Loss 1.1720 | Test Acc 0.6310
cora | Train Loss 0.0081 | Train Acc 1.0000 | Val Loss 0.7214 | Val Acc 0.7860 | Test Loss 0.6303 | Test Acc 0.8050
cora | Train Loss 0.0513 | Train Acc 1.0000 | Val Loss 0.6226 | Val Acc 0.7900 | Test Loss 0.5541 | Test Acc 0.8180
cora | Train Loss 0.0543 | Train Acc 0.9929 | Val Loss 0.6620 | Val Acc 0.7900 | Test Loss 0.5688 | Test Acc 0.8140
cora | Train Loss 0.0391 | Train Acc 1.0000 | Val Loss 0.6312 | Val Acc 0.8020 | Test Loss 0.5670 | Test Acc 0.8180
ogbn-arxiv | Train Loss 0.9879 | Train Acc 0.7012 | Val Loss 1.0241 | Val Acc 0.6892 | Test Loss 1.0515 | Test Acc 0.6791
cora | Train Loss 0.0494 | Train Acc 1.0000 | Val Loss 0.5983 | Val Acc 0.8040 | Test Loss 0.5422 | Test Acc 0.8290
cora | Train Loss 0.0414 | Train Acc 1.0000 | Val Loss 0.6390 | Val Acc 0.7860 | Test Loss 0.5621 | Test Acc 0.8150
cora | Train Loss 0.0151 | Train Acc 1.0000 | Val Loss 0.6677 | Val Acc 0.8020 | Test Loss 0.5888 | Test Acc 0.8120
cora | Train Loss 0.1053 | Train Acc 0.9857 | Val Loss 0.7007 | Val Acc 0.8000 | Test Loss 0.6662 | Test Acc 0.8030
cora | Train Loss 0.0636 | Train Acc 0.9857 | Val Loss 0.6519 | Val Acc 0.8020 | Test Loss 0.6100 | Test Acc 0.8110
cora | Train Loss 0.0804 | Train Acc 0.9929 | Val Loss 0.6858 | Val Acc 0.7920 | Test Loss 0.6348 | Test Acc 0.8010
cora | Train Loss 0.0573 | Train Acc 0.9786 | Val Loss 0.5830 | Val Acc 0.7980 | Test Loss 0.5236 | Test Acc 0.8170
cora | Train Loss 0.1153 | Train Acc 1.0000 | Val Loss 0.8870 | Val Acc 0.7560 | Test Loss 0.8620 | Test Acc 0.7600
chameleon | Train Loss 1.1886 | Train Acc 0.7500 | Val Loss 1.4963 | Val Acc 0.4376 | Test Loss 1.5005 | Test Acc 0.4364
chameleon | Train Loss 1.2832 | Train Acc 0.7683 | Val Loss 1.4992 | Val Acc 0.4431 | Test Loss 1.5133 | Test Acc 0.4561
chameleon | Train Loss 1.1808 | Train Acc 0.7738 | Val Loss 1.4821 | Val Acc 0.4664 | Test Loss 1.5133 | Test Acc 0.4386
chameleon | Train Loss 1.1580 | Train Acc 0.8068 | Val Loss 1.4719 | Val Acc 0.4486 | Test Loss 1.5174 | Test Acc 0.4496
chameleon | Train Loss 1.2213 | Train Acc 0.7619 | Val Loss 1.4879 | Val Acc 0.4623 | Test Loss 1.4558 | Test Acc 0.4583
