cora(2) | Train Loss 0.4588 | Train Acc 0.9929 | Val Loss 1.1078 | Val Acc 0.7580 | Test Loss 1.0687 | Test Acc 0.7840
cora(2) | Train Loss 0.3324 | Train Acc 0.9857 | Val Loss 0.9944 | Val Acc 0.7660 | Test Loss 0.9489 | Test Acc 0.7890
cora(2) | Train Loss 0.3323 | Train Acc 0.9857 | Val Loss 0.9946 | Val Acc 0.7660 | Test Loss 0.9489 | Test Acc 0.7890
cora(2) | Train Loss 0.1527 | Train Acc 1.0000 | Val Loss 0.7818 | Val Acc 0.7960 | Test Loss 0.7434 | Test Acc 0.8060
cora(2) | Train Loss 0.1528 | Train Acc 1.0000 | Val Loss 0.7818 | Val Acc 0.7960 | Test Loss 0.7433 | Test Acc 0.8060
cora(2) | Train Loss 0.1528 | Train Acc 1.0000 | Val Loss 0.7819 | Val Acc 0.7960 | Test Loss 0.7434 | Test Acc 0.8060
cora(2) | Train Loss 0.1612 | Train Acc 1.0000 | Val Loss 0.7921 | Val Acc 0.7940 | Test Loss 0.7542 | Test Acc 0.8030
cora(2) | Train Loss 0.2317 | Train Acc 0.9857 | Val Loss 0.9012 | Val Acc 0.7680 | Test Loss 0.8506 | Test Acc 0.7940
cora(2) | Train Loss 0.2316 | Train Acc 0.9857 | Val Loss 0.9014 | Val Acc 0.7680 | Test Loss 0.8505 | Test Acc 0.7930
cora(2) | Train Loss 0.8174 | Train Acc 0.9857 | Val Loss 1.3357 | Val Acc 0.7560 | Test Loss 1.3057 | Test Acc 0.7840
cora(2) | Train Loss 0.7429 | Train Acc 0.9857 | Val Loss 1.2897 | Val Acc 0.7560 | Test Loss 1.2582 | Test Acc 0.7850
cora(2) | Train Loss 0.3324 | Train Acc 0.9857 | Val Loss 0.9946 | Val Acc 0.7660 | Test Loss 0.9486 | Test Acc 0.7880
cora(2) | Train Loss 0.3323 | Train Acc 0.9857 | Val Loss 0.9945 | Val Acc 0.7660 | Test Loss 0.9489 | Test Acc 0.7900
cora(2) | Train Loss 0.3324 | Train Acc 0.9857 | Val Loss 0.9944 | Val Acc 0.7660 | Test Loss 0.9486 | Test Acc 0.7900
cora(2) | Train Loss 0.2800 | Train Acc 0.9857 | Val Loss 0.9418 | Val Acc 0.7660 | Test Loss 0.8931 | Test Acc 0.7920
cora(2) | Train Loss 0.2462 | Train Acc 0.9857 | Val Loss 0.9080 | Val Acc 0.7680 | Test Loss 0.8573 | Test Acc 0.7930
cora(2) | Train Loss 0.4309 | Train Acc 0.9857 | Val Loss 1.0550 | Val Acc 0.7860 | Test Loss 1.0171 | Test Acc 0.8030
cora(2) | Train Loss 0.4701 | Train Acc 0.9857 | Val Loss 1.0849 | Val Acc 0.7880 | Test Loss 1.0482 | Test Acc 0.8000
cora(2) | Train Loss 0.6381 | Train Acc 0.9857 | Val Loss 1.1893 | Val Acc 0.7780 | Test Loss 1.1569 | Test Acc 0.8010
cora(2) | Train Loss 0.6159 | Train Acc 0.9786 | Val Loss 1.0977 | Val Acc 0.7900 | Test Loss 1.0675 | Test Acc 0.7990
pubmed(2) | Train Loss 0.3110 | Train Acc 0.9833 | Val Loss 0.6532 | Val Acc 0.8080 | Test Loss 0.6623 | Test Acc 0.7900
pubmed(2) | Train Loss 0.4698 | Train Acc 0.9667 | Val Loss 0.7457 | Val Acc 0.7720 | Test Loss 0.7520 | Test Acc 0.7670
pubmed(2) | Train Loss 0.3110 | Train Acc 0.9833 | Val Loss 0.6532 | Val Acc 0.8080 | Test Loss 0.6623 | Test Acc 0.7900
cora(2) | Train Loss 0.8893 | Train Acc 0.9857 | Val Loss 1.3514 | Val Acc 0.7820 | Test Loss 1.3271 | Test Acc 0.7920
