cora(2) | Train Loss 0.2279 | Train Acc 0.9071 | Val Loss 0.7934 | Val Acc 0.7533 | Test Loss 1.0095 | Test Acc 0.6560
cora(2) | Train Loss 0.2836 | Train Acc 0.9071 | Val Loss 0.7591 | Val Acc 0.7567 | Test Loss 0.9454 | Test Acc 0.6750
cora(2) | Train Loss 0.2075 | Train Acc 0.9429 | Val Loss 0.7162 | Val Acc 0.7833 | Test Loss 0.7028 | Test Acc 0.7800
cora(2) | Train Loss 1.0521 | Train Acc 0.5929 | Val Loss 1.2063 | Val Acc 0.5533 | Test Loss 1.3593 | Test Acc 0.4970
cora(2) | Train Loss 0.2583 | Train Acc 0.9143 | Val Loss 0.6887 | Val Acc 0.7767 | Test Loss 0.6941 | Test Acc 0.7850
cora(2) | Train Loss 0.5341 | Train Acc 0.7714 | Val Loss 0.8871 | Val Acc 0.6700 | Test Loss 0.7670 | Test Acc 0.7460
cora(2) | Train Loss 0.2826 | Train Acc 0.9071 | Val Loss 0.7524 | Val Acc 0.7700 | Test Loss 0.9359 | Test Acc 0.6720
cora(2) | Train Loss 0.4236 | Train Acc 0.8357 | Val Loss 0.8262 | Val Acc 0.7200 | Test Loss 0.9801 | Test Acc 0.6480
cora(2) | Train Loss 0.8961 | Train Acc 0.5929 | Val Loss 1.1337 | Val Acc 0.5600 | Test Loss 1.2010 | Test Acc 0.4990
cora(2) | Train Loss 0.5271 | Train Acc 0.8286 | Val Loss 0.8632 | Val Acc 0.7267 | Test Loss 1.0169 | Test Acc 0.6390
cora(3) | Train Loss 0.4318 | Train Acc 0.8429 | Val Loss 0.8601 | Val Acc 0.7100 | Test Loss 1.0158 | Test Acc 0.6440
cora(3) | Train Loss 0.5757 | Train Acc 0.7714 | Val Loss 0.9611 | Val Acc 0.6567 | Test Loss 0.8535 | Test Acc 0.7340
cora(2) | Train Loss 0.2578 | Train Acc 0.9643 | Val Loss 0.7675 | Val Acc 0.7900 | Test Loss 0.8948 | Test Acc 0.6980
