cora | Train Loss 0.6118 | Train Acc 0.9643 | Val Loss 1.0391 | Val Acc 0.8080 | Test Loss 1.0214 | Test Acc 0.8130
cora | Train Loss 0.0565 | Train Acc 0.9929 | Val Loss 0.6944 | Val Acc 0.8060 | Test Loss 0.6313 | Test Acc 0.8150
cora | Train Loss 0.1367 | Train Acc 0.9786 | Val Loss 0.7006 | Val Acc 0.8100 | Test Loss 0.6369 | Test Acc 0.8160
cora | Train Loss 0.1207 | Train Acc 0.9857 | Val Loss 0.6669 | Val Acc 0.8180 | Test Loss 0.6114 | Test Acc 0.8110
cora | Train Loss 0.1137 | Train Acc 0.9857 | Val Loss 0.6464 | Val Acc 0.8140 | Test Loss 0.5881 | Test Acc 0.8150
cora | Train Loss 0.0348 | Train Acc 1.0000 | Val Loss 0.8356 | Val Acc 0.8080 | Test Loss 0.7142 | Test Acc 0.8020
cora | Train Loss 0.2323 | Train Acc 0.9571 | Val Loss 0.7385 | Val Acc 0.8000 | Test Loss 0.6834 | Test Acc 0.8040
cora | Train Loss 0.1725 | Train Acc 0.9714 | Val Loss 0.6910 | Val Acc 0.8040 | Test Loss 0.6497 | Test Acc 0.8140
cora | Train Loss 0.1073 | Train Acc 0.9786 | Val Loss 0.7460 | Val Acc 0.8000 | Test Loss 0.6612 | Test Acc 0.8070
cora | Train Loss 0.1285 | Train Acc 0.9786 | Val Loss 0.6566 | Val Acc 0.8080 | Test Loss 0.6487 | Test Acc 0.8080
cora | Train Loss 0.2321 | Train Acc 0.9500 | Val Loss 0.6771 | Val Acc 0.8200 | Test Loss 0.6354 | Test Acc 0.8170
cora | Train Loss 0.1291 | Train Acc 0.9643 | Val Loss 0.7467 | Val Acc 0.8100 | Test Loss 0.6301 | Test Acc 0.8200
cora | Train Loss 0.3967 | Train Acc 0.9286 | Val Loss 0.7979 | Val Acc 0.7980 | Test Loss 0.7470 | Test Acc 0.8040
cora | Train Loss 0.1462 | Train Acc 0.9500 | Val Loss 0.7198 | Val Acc 0.8080 | Test Loss 0.6243 | Test Acc 0.8110
cora | Train Loss 0.1510 | Train Acc 0.9429 | Val Loss 0.7253 | Val Acc 0.8040 | Test Loss 0.6608 | Test Acc 0.8020
cora | Train Loss 0.2380 | Train Acc 0.9429 | Val Loss 0.6782 | Val Acc 0.8060 | Test Loss 0.6230 | Test Acc 0.8200
cora | Train Loss 0.1211 | Train Acc 0.9571 | Val Loss 0.7914 | Val Acc 0.8100 | Test Loss 0.7008 | Test Acc 0.8160
cora | Train Loss 0.2385 | Train Acc 0.9286 | Val Loss 0.6758 | Val Acc 0.8180 | Test Loss 0.6237 | Test Acc 0.8240
cora | Train Loss 0.2121 | Train Acc 0.9500 | Val Loss 0.8471 | Val Acc 0.8080 | Test Loss 0.7735 | Test Acc 0.7900
cora | Train Loss 0.3583 | Train Acc 0.9214 | Val Loss 0.7567 | Val Acc 0.8000 | Test Loss 0.6703 | Test Acc 0.8060
cora | Train Loss 0.0996 | Train Acc 0.9786 | Val Loss 0.8197 | Val Acc 0.7940 | Test Loss 0.6694 | Test Acc 0.8110
cora | Train Loss 0.1698 | Train Acc 0.9500 | Val Loss 0.7651 | Val Acc 0.8160 | Test Loss 0.6704 | Test Acc 0.8120
cora | Train Loss 0.2693 | Train Acc 0.9143 | Val Loss 0.7380 | Val Acc 0.8000 | Test Loss 0.6492 | Test Acc 0.7960
cora | Train Loss 0.1203 | Train Acc 0.9643 | Val Loss 0.9157 | Val Acc 0.8080 | Test Loss 0.7906 | Test Acc 0.8040
cora | Train Loss 0.1384 | Train Acc 0.9500 | Val Loss 0.7324 | Val Acc 0.8120 | Test Loss 0.6174 | Test Acc 0.8190
cora | Train Loss 0.2147 | Train Acc 0.9429 | Val Loss 0.6777 | Val Acc 0.8060 | Test Loss 0.6078 | Test Acc 0.8210
cora | Train Loss 0.0907 | Train Acc 0.9571 | Val Loss 1.2935 | Val Acc 0.7940 | Test Loss 1.1525 | Test Acc 0.8050
cora | Train Loss 0.1067 | Train Acc 0.9714 | Val Loss 1.7911 | Val Acc 0.7960 | Test Loss 1.5641 | Test Acc 0.8040
