cora(4) | Train Loss 0.4331 | Train Acc 1.0000 | Val Loss 1.1937 | Val Acc 0.7340 | Test Loss 1.1493 | Test Acc 0.7260
cora(4) | Train Loss 0.3707 | Train Acc 1.0000 | Val Loss 1.0447 | Val Acc 0.7800 | Test Loss 0.9951 | Test Acc 0.7750
cora(4) | Train Loss 0.2913 | Train Acc 0.9929 | Val Loss 0.9434 | Val Acc 0.7740 | Test Loss 0.8936 | Test Acc 0.7940
cora(4) | Train Loss 0.2727 | Train Acc 0.9929 | Val Loss 0.9419 | Val Acc 0.7640 | Test Loss 0.8946 | Test Acc 0.7790
cora(4) | Train Loss 0.3574 | Train Acc 0.9929 | Val Loss 1.0239 | Val Acc 0.7480 | Test Loss 0.9869 | Test Acc 0.7730
cora(4) | Train Loss 0.3037 | Train Acc 0.9929 | Val Loss 1.0169 | Val Acc 0.7600 | Test Loss 0.9849 | Test Acc 0.7580
cora(4) | Train Loss 0.4353 | Train Acc 0.9929 | Val Loss 1.1667 | Val Acc 0.7400 | Test Loss 1.1358 | Test Acc 0.7470
cora(4) | Train Loss 0.5455 | Train Acc 0.9929 | Val Loss 1.2955 | Val Acc 0.7080 | Test Loss 1.2734 | Test Acc 0.7170
cora(4) | Train Loss 0.8895 | Train Acc 1.0000 | Val Loss 1.5461 | Val Acc 0.6620 | Test Loss 1.5293 | Test Acc 0.6560
cora(32) | Train Loss 79.0522 | Train Acc 0.6643 | Val Loss 515.3488 | Val Acc 0.3120 | Test Loss 580.8463 | Test Acc 0.3100
cora(32) | Train Loss 0.0289 | Train Acc 1.0000 | Val Loss 12.4710 | Val Acc 0.6600 | Test Loss 9.2957 | Test Acc 0.6410
cora(32) | Train Loss 0.4498 | Train Acc 0.9071 | Val Loss 1.7231 | Val Acc 0.7920 | Test Loss 1.5848 | Test Acc 0.7850
cora(32) | Train Loss 0.4856 | Train Acc 0.9214 | Val Loss 0.9895 | Val Acc 0.7980 | Test Loss 0.9655 | Test Acc 0.7920
cora(32) | Train Loss 0.4225 | Train Acc 0.9643 | Val Loss 0.8791 | Val Acc 0.7980 | Test Loss 0.8511 | Test Acc 0.7960
cora(32) | Train Loss 0.9895 | Train Acc 0.9643 | Val Loss 1.3492 | Val Acc 0.7840 | Test Loss 1.3280 | Test Acc 0.7680
cora(32) | Train Loss 0.2851 | Train Acc 0.9929 | Val Loss 0.9143 | Val Acc 0.7760 | Test Loss 0.8824 | Test Acc 0.7970
cora(32) | Train Loss 0.4599 | Train Acc 0.9929 | Val Loss 1.1396 | Val Acc 0.7540 | Test Loss 1.1115 | Test Acc 0.7680
